Margheritta,50,67,82
Vesuvio,56,77,100
Pepperoni,56,77,100
Capricciosa,60,77,108
Pollo,64,82,116
Italiana,60,82,108
Roma,64,82,10864,82,108
Quattro Stagioni,62,82,108
Calzone (Indbagt),60,0,0
Siciliana,60,82,108
Vegetar,67,87,120
Torino,62,82,112
Milano,67,87,120
Matador,67,87,120
Caprese,67,87,120
Torro,67,87,120
Viking,67,87,120
Mexicana,67,87,120
Hot,67,87,120
Azteka,67,87,121
Salat Pizza Kebab,62,82,112
Salat Pizza Kylling,62,82,112
Salat Pizza Falafel,62,82,112
Salat Pizza Skinke,62,82,112
Salat Pizza Kødstrimler,62,82,112
Pizzeiolo,62,82,112
Greca,62,82,112
4 Formaggi,62,82,112
Romana,62,82,112
Mozzarella,62,82,112
Feta,62,82,112
Sinos,62,82,112
Pepino,62,82,112
Marineret Lam,64,87,116
Verona,67,87,122
Cacciatore,64,87,116
Parma,67,87,122
Salami,61,82,110
